Engine_Size,Mileage,Horsepower,Torque,Price,Brand_Audi,Brand_BMW,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Tesla,Brand_Toyota,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Body_Type_Convertible,Body_Type_Coupe,Body_Type_Hatchback,Body_Type_SUV,Body_Type_Sedan,Car_Model_Economy,Car_Model_Luxury,Car_Model_Sports,Car_Model_Standard
1595.33,18.76,187.38,62.25,1899906.7,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1487.14,18.92,120.52,212.11,1678140.02,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
967.57,15.095,76.52,185.86,2043705.28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2610.9,24.74,119.36,125.84,1326097.42,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1800.11,16.34,107.47,85.84,2066923.68,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
2078.57,19.27,119.96,272.4,1519639.82,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1998.88,14.47,162,253.88,1556583.73,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1466.28,13.66,121.99,222.36,2557026.66,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1370.47,23.32,115.52,139.42,1257662.02,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1497.34,17.7,158.04,28.98,2113729.52,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2000.275,22.26,159.95,225.88,1739842.47,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2183.3,16.28,119.96,202,1214047.55,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1602.14,10.76,145.72,157.52,842154.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2873.25,12.08,121.12,247.49,983457.47,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2513.58,15.51,67.55,230.88,2065337.4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
2404.18,11.87,155.21,190.57,2367199.76,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1940.17,9.46,209.85,182.1,1545719.95,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2757.14,21.01,142.27,183.06,1571940.88,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1891,12.28,164.02,220.8,1888226.72,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2000.275,15.095,192.16,128.55,1536651.01,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2084.99,16.48,86.79,205.56,2049850.02,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
2000.275,12.06,45.7,124.76,1645811.13,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
2000.275,22.25,146.27,260.19,1567770.66,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1762.44,9.41,110.1,211.93,1150393.58,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1733.5,16.31,65.03,138.71,1027366.46,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2319.95,16.23,116.87,184.84,1495863.915,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
2357.62,14.73,149.1,179.975,2117058.4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1803.32,8.52,114.04,270.25,1426696.47,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1206.41,19.35,88.53,277.37,1299801.33,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1896.34,18.72,111.06,221.77,524146.35,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2311.76,11.62,119.22,273.4,1179943.62,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
2902.71,18.54,42.82,189.11,1114156.77,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
1401.02,16.87,114.29,225.81,1102613.46,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1786.71,8.6,66.23,253.48,1666418.07,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1805.3,10.73,146.36,179.66,1561124.28,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2677.9,20.69,57.56,184.27,819352.03,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1982.53,16.55,160.51,236.02,851079.45,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1546.34,12.18,103.63,218.79,850160.72,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2279.35,10.71,98.28,134.67,2405263.04,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1797.68,12.42,119.96,48.79,2246361.31,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
1387.81,15.095,85.36,169.47,1073850.5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
2000.275,10.77,131.15,54.19,511702.84,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2867.02,6.29,90.72,120.54,1564022.12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2192.1,20.7,97.73,127.54,1523470.06,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2053.88,19.85,136.21,179.975,1658458.49,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
1875.05,8.63,74.46,229.23,1870686.95,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2146.07,15.68,69.43,242.26,1725851.98,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2140.12,10.49,129.93,210.52,941780.23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2146.08,13.69,118.92,179.975,1647020.54,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2057.42,13.28,126.75,219.37,1926911.79,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2434.4,12.86,133.11,30.19,1137999.14,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2011.55,25.01,122.3,180.61,1649978.23,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1511.03,12.8,144.32,72.21,1223609.64,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1693.79,10.96,123.9,210.55,2498084.86,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1010.49,11.19,39.71,54.41,836586.43,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
2000.275,20.22,50.08,169.17,2077974.47,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
2431.38,6.74,197.12,212.87,664593.62,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1584.96,11.19,120,112.93,2396526.34,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1859.08,22.23,158.01,179.975,929225.47,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
1681.56,16.22,106.17,210.4,1594835.77,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2771.27,15.96,117.68,202.85,685403.41,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1290.06,25.66,101.87,221.88,825009.44,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
